stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,stop_url
5918,"Minnetonka Blvd & Texas Av","Near side E",  44.949390, -93.381004,"Minnetonka Blvd",SAINT LOUIS PARK,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5918
5919,"Toledo Av & Minnetonka Blvd","Far side N",  44.948856, -93.346687,"Toledo Av",SAINT LOUIS PARK,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5919
5920,"Hwy 100 SB Exit & Vernon Av","Near side W",  44.949123, -93.349632,"Hwy 100 SB Exit",SAINT LOUIS PARK,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5920
5922,"Plymouth Rd & Turnaround En","Near side S",  44.972240, -93.445908,"Plymouth Rd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5922
5924,"Ridgedale Dr & YMCA Lane","Near side E",  44.965992, -93.433838,"Ridgedale Dr",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5924
5929,"Plymouth (CR 61) & Ridgedale Dr","Far side S",  44.965477, -93.442520,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5929
5930,"Plymouth (CR 61) & Sherwood Pl","Far side S",  44.961807, -93.442375,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5930
5931,"Plymouth (CR 61) & Hilloway Rd","Across from S",  44.960094, -93.442024,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5931
5933,"Plymouth (CR 61) & Forest Meadow","Far side S",  44.957962, -93.441521,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5933
5934,"Plymouth (CR 61) & Woodbridge Tr","Far side S",  44.955711, -93.441589,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5934
