fare_id,price,currency_type,payment_method,transfers,transfer_duration
245,10.55,USD,1,,
246,5.50,USD,1,,
247,6.30,USD,1,,
248,6.55,USD,1,,
249,7.55,USD,1,,
250,8.25,USD,1,,
251,5.70,USD,1,,
252,6.00,USD,1,,
253,11.00,USD,1,,
254,6.35,USD,1,,
255,5.55,USD,1,,
256,6.20,USD,1,,
257,2.10,USD,1,,
258,2.10,USD,1,,
259,2.10,USD,1,,
260,2.10,USD,1,,
261,2.10,USD,1,,
262,2.90,USD,1,,
263,3.10,USD,1,,
264,3.10,USD,1,,
265,3.10,USD,1,,
266,3.45,USD,1,,
267,3.70,USD,1,,
268,4.00,USD,1,,
269,4.25,USD,1,,
270,4.55,USD,1,,
271,4.85,USD,1,,
272,5.40,USD,1,,
273,5.75,USD,1,,
274,4.55,USD,1,,
275,5.75,USD,1,,
276,5.80,USD,1,,
277,5.25,USD,1,,
278,5.50,USD,1,,
279,5.05,USD,1,,
280,4.60,USD,1,,
281,4.45,USD,1,,
282,4.05,USD,1,,
283,3.65,USD,1,,
284,2.95,USD,1,,
285,3.30,USD,1,,
286,5.05,USD,1,,
287,5.05,USD,1,,
288,5.05,USD,1,,
289,5.05,USD,1,,
290,5.10,USD,1,,
291,5.20,USD,1,,
292,5.30,USD,1,,
293,5.40,USD,1,,
294,5.55,USD,1,,
295,10.15,USD,1,,
296,6.25,USD,1,,
297,7.00,USD,1,,
298,7.30,USD,1,,
299,6.00,USD,1,,
300,6.65,USD,1,,
301,5.50,USD,1,,
302,5.75,USD,1,,
303,10.75,USD,1,,
304,6.10,USD,1,,
305,5.35,USD,1,,
306,2.10,USD,1,,
307,6.20,USD,1,,
308,2.10,USD,1,,
309,2.10,USD,1,,
310,2.10,USD,1,,
311,2.10,USD,1,,
312,2.50,USD,1,,
313,2.75,USD,1,,
314,2.75,USD,1,,
315,2.75,USD,1,,
316,3.25,USD,1,,
317,3.45,USD,1,,
318,3.80,USD,1,,
319,4.00,USD,1,,
320,4.35,USD,1,,
321,4.65,USD,1,,
322,5.15,USD,1,,
323,5.55,USD,1,,
324,4.30,USD,1,,
325,5.50,USD,1,,
326,5.60,USD,1,,
327,5.05,USD,1,,
328,5.30,USD,1,,
329,4.80,USD,1,,
330,4.35,USD,1,,
331,4.20,USD,1,,
332,3.85,USD,1,,
333,3.45,USD,1,,
334,2.60,USD,1,,
335,2.95,USD,1,,
