stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
14899,,Miracle Mile/800 Block,W MIRACLE MILE & N 15TH AVE,32.261096,-110.983847,,,,,0
14900,,Congress/Central,W CONGRESS ST & S FREEWAY,32.220902,-110.978608,,,,,0
14901,,Via Ponte/Ina,N VIA PONTE & W INA RD,32.336828,-110.979391,,,,,0
14902,,12th Av/Jetty Av,S 12TH AVE & S JETTY AVE,32.183068,-110.977744,,,,,0
14903,,Aero Park Bl/Flight Safety,E AERO PARK BLVD,32.110931,-110.956954,,,,,0
14904,,Fort Lowell/Cherry,E FORT LOWELL RD & N CHERRY AVE,32.264676,-110.948272,,,,,0
14905,,Nexus/LaPalma Dr,S NEXUS RD & E LA PALMA DR,32.116974,-110.797309,,,,,0
14906,,Valencia/Headley,W VALENCIA RD & S HEADLEY RD,32.133944,-111.008121,,,,,0
14908,,Pantano/PantanoPkwy,S PANTANO RD & PANTANO PKWY,32.20867,-110.823879,,,,,0
14909,,Fort Lowell/Navajo,E FORT LOWELL RD & E NAVAJO RD,32.26487,-110.954525,,,,,0
14913,,Kino Pw/Silverlake,S KINO PW & E SILVERLAKE RD,32.200165,-110.949352,,,,,0
14914,,Grant/1st Av,E GRANT RD & N 1ST AVE,32.250248,-110.960026,,,,,0
14917,,Arizona Pavilions/Cortaro Road,N CORTARO RD & N COURTNEY PAGE WAY,32.353352,-111.092355,,,,,0
14918,,C Concordia/Shadow Mountain Dr,W C CONCORDIA & E C CONCORDIA,32.373521,-110.970105,,,,,0
14919,,Midvale Park/Denning,S MIDVALE PARK RD & W THORNE ST,32.146538,-110.998636,,,,,0
14920,,Pantano/S Eastside Loop,S PANTANO RD & S EASTSIDE LOOP,32.202701,-110.826755,,,,,0
14921,,Pantano/S Eastside Loop,S PANTANO RD & S EASTSIDE LOOP,32.202268,-110.826639,,,,,0
14923,,Escalante/Av de las Palmas,E ESCALANTE RD & S AVE DE LAS PALMA,32.177454,-110.810808,,,,,0
14924,,Escalante/Av de las Palmas,E ESCALANTE RD & S AVE DE LAS PALMA,32.177174,-110.810588,,,,,0
14925,,Stone/Dorothy,N STONE AVE & E DOROTHY LN,32.284801,-110.969504,,,,,0
14926,,Alvernon/Fort Lowell,N ALVERNON WAY & E FORT LOWELL RD,32.265339,-110.909754,,,,,0
14927,,Alvernon/Kleindale,N ALVERNON WAY,32.269081,-110.9098,,,,,0
14928,,Alvernon/Kleindale,N ALVERNON WAY,32.269081,-110.909864,,,,,0
14929,,Alvernon/Hardy,N ALVERNON WAY,32.267278,-110.909872,,,,,0
14930,,Alvernon/Fort Lowell,N ALVERNON WAY & E PRESIDIO RD,32.264883,-110.909929,,,,,0
14931,,Benson Hy/Columbus Blvd,E BENSON HWY & E PRISER LOOP,32.142022,-110.901576,,,,,0
14932,,Pantano/Rosewood,N PANTANO RD & E ROSEWOOD ST,32.232473,-110.823744,,,,,0
14933,,Fort Lowell/Av Laurel Real,E FORT LOWELL RD & N AVE LAUREL REAL,32.265068,-110.90455,,,,,0
14934,,Broadway/Gollob,E BROADWAY BLVD & N GOLLOB RD,32.220705,-110.798065,,,,,0
14935,,Broadway/Gollob,E BROADWAY BLVD & N GOLLOB RD,32.220975,-110.798168,,,,,0
14936,,Broadway/Rayburn,E BROADWAY BLVD & N RAYBURN PL,32.220934,-110.802934,,,,,0
14937,,Broadway/Rayburn,E BROADWAY BLVD & N RAYBURN PL,32.220772,-110.802947,,,,,0
14938,,Broadway/Elster,E BROADWAY BLVD & N ELSTER DR,32.220755,-110.793329,,,,,0
14939,,Broadway/Dixie,E BROADWAY BLVD & N DIXIE AVE,32.220907,-110.79434,,,,,0
14940,,Pantano/Villa Rica,N PANTANO RD & E C VILLA RICA,32.239265,-110.823762,,,,,0
14941,,Tanque Verde/6390 E Tanque Verde,E TANQUE VERDE RD & E TANQUE VERDE RD,32.243743,-110.856456,,,,,0
14942,,Drexel/Ray Strav,E DREXEL RD & S BRYANT AVE,32.148831,-110.903731,,,,,0
14943,,Valencia/Swan,E VALENCIA RD & E BENSON HWY,32.134274,-110.891496,,,,,0
14944,,Craycroft/Fairmount,N CRAYCROFT RD & E FAIRMOUNT ST,32.239602,-110.875593,,,,,0
14945,,Stone/Alameda,N STONE AVE & W ALAMEDA ST,32.223932,-110.971606,,,,,0
14949,,Valencia/Oak Tree,W VALENCIA RD & S OAK TREE RD,32.133906,-111.003755,,,,,0
14950,,Valencia/Sandpiper,W VALENCIA RD & S SANDPIPER AVE,32.133752,-111.008975,,,,,0
14951,,4th Av/25th St,S 4TH AVE & E 25TH ST,32.203505,-110.965449,,,,,0
14952,,12th Av/C Alvord,S 12TH AVE & W C ALVORD,32.144797,-110.977661,,,,,0
14953,,Country Club/46th St,S COUNTRY CLUB RD & E 46TH ST,32.181551,-110.926388,,,,,0
14954,,Country Club/44th St,S COUNTRY CLUB RD & E 44TH ST,32.184504,-110.926422,,,,,0
14955,,Country Club/Kaibab Vista,S COUNTRY CLUB RD & E COCONINO VISTA,32.187169,-110.926437,,,,,0
14957,,Country Club/Kaibab Vista,S COUNTRY CLUB RD & E COCONINO VISTA,32.187062,-110.926502,,,,,0
14958,,Country Club/44th St,S COUNTRY CLUB RD & E 44TH ST,32.184397,-110.926487,,,,,0
14959,,Country Club/46th St,S COUNTRY CLUB RD & E 46TH ST,32.181444,-110.926453,,,,,0
14961,,Escalante/Le Beaux,E ESCALANTE RD & S LE BRECQUE PL,32.177418,-110.81521,,,,,0
14962,,Stone/Lester,N STONE AVE & E LESTER ST,32.244237,-110.971773,,,,,0
14963,,Glenn/C de Romy,E GLENN ST & N C DE ROMY,32.257799,-110.905648,,,,,0
14964,,Shannon/Master Pieces Dr,N SHANNON RD & W SANDBROOK LN,32.312812,-111.028687,,,,,0
14965,,Orange Grove/Cmo de la Tierra,W ORANGE GROVE RD & N CMO DE LA TIERRA,32.32335,-111.03768,,,,,0
14977,,6th St/Fremont,E 6TH ST & N PARK AVE,32.227635,-110.955288,,,,,0
14981,,La Canada/Magee,N LA CANADA DR & W MAGEE RD,32.351194,-110.995761,,,,,0
