stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"81448","","119TH AVE NE & NE 148TH ST","","47.7350464","-122.18264","19"
"81450","","119TH PL NE & NE 144TH PL","","47.7328033","-122.181641","19"
"81452","","NE 144TH ST & 119TH PL NE","","47.7311821","-122.181091","19"
"81454","","NE 144TH ST & 121ST PL NE","","47.7311821","-122.178841","19"
"81456","","NE 144TH ST & 124TH AVE NE","","47.7313232","-122.176476","19"
"81458","","NE 144TH ST & 121ST PL NE","","47.7313232","-122.178787","19"
"81460","","NE 144TH ST & 119TH PL NE","","47.7313156","-122.181419","19"
"81462","","119TH PL NE & NE 144TH PL","","47.7330666","-122.181419","19"
"81464","","119TH AVE NE & NE 148TH ST","","47.7349625","-122.182404","19"
"81466","","119TH AVE NE & NE 150TH PL","","47.7369652","-122.182419","19"
"81469","","119TH AVE NE & NE 153RD PL","","47.7392616","-122.1819","19"
"81472","","119TH AVE NE & NE 159TH ST","","47.7429161","-122.181381","19"
"81480","","130TH AVE NE & NE 24TH PL","","47.6325989","-122.167542","19"
"81482","","130TH AVE NE & NE 26TH PL","","47.6339874","-122.166969","19"
"81484","","130TH AVE NE & NE 28TH PL","","47.6353188","-122.166969","19"
"74326","","124TH AVE NE & NE 104TH ST","","47.6929207","-122.17585","19"
"74327","","124TH AVE NE & NE 100TH ST","","47.6897011","-122.175835","19"
"74328","","124TH AVE NE & NE 97TH ST","","47.6875076","-122.175941","19"
"74331","","124TH AVE NE & NE 90TH ST","","47.6828575","-122.176201","19"
"74332","","3RD ST & 15TH AVE","","47.6873589","-122.204628","19"
"74334","","124TH AVE NE & NE 85TH ST","","47.6787758","-122.176094","19"
"74340","","3RD ST & 13TH AVE","","47.6853104","-122.204559","19"
"74342","","124TH AVE NE & NE 85TH ST","","47.6797943","-122.175919","19"
"74344","","124TH AVE NE & NE 90TH ST","","47.6828194","-122.176003","19"
"74346","","124TH AVE NE & NE 97TH ST","","47.6878967","-122.175728","19"
"74347","","124TH AVE NE & NE 100TH ST","","47.6899605","-122.175629","19"
"74348","","124TH AVE NE & NE 104TH ST","","47.6934166","-122.175644","19"
"74352","","124TH AVE NE & NE 108TH PL","","47.6979332","-122.175674","19"
"74354","","124TH AVE NE & NE 112TH PL","","47.7013817","-122.175682","19"
"74370","","3RD ST & 9TH AVE","","47.6820221","-122.204033","19"
"74380","","3RD ST & 7TH AVE","","47.6803207","-122.203979","19"
"74390","","3RD ST & 5TH AVE","","47.6787186","-122.203934","19"
"74392","","6TH ST & 4TH AVE","","47.6777077","-122.197075","19"
"74395","","108TH AVE NE & NE 68TH ST","","47.6652336","-122.19635","19"
"74396","","108TH AVE NE & NE 62ND ST","","47.6629677","-122.196327","19"
"74400","","108TH AVE NE & NE 60TH ST","","47.6614151","-122.196312","19"
"74410","","108TH AVE NE & NE 58TH ST","","47.6590042","-122.196312","19"
"74420","","108TH AVE NE & NE 53RD ST","","47.6557426","-122.196342","19"
