route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100215","KCM","373","","Aurora Village TC to University District",3,"http://metro.kingcounty.gov/schedules/373/n0.html",,
"100011","KCM","111","","Lake Kathleen to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/111/n0.html",,
"100451","ST","556","","Issaquah University District Northgate",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/556",,
"100240","ST","554","","Issaquah Seattle",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/554",,
"100235","ST","540","","Kirkland University District",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/540",,
"100232","ST","522","","ST 522 Woodinville-Seattle",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/522",,
"100241","ST","555","","Issaquah Northgate",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/555",,
"100511","ST","542","","Redmond University District",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/542",,
"100239","ST","550","","Bellevue Seattle",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/550",,
"100236","ST","545","","Redmond Seattle",3,"http://www.soundtransit.org/Schedules/ST-Express-Bus/545",,
"100297","KCM","914","","Downtown Kent to Kent East Hill",3,"http://metro.kingcounty.gov/schedules/914/n0.html",,
"102558","KCM","931","","UW /CCC Campus to Redmond TC",3,"http://metro.kingcounty.gov/schedules/931/n0.html",,
"102512","KCM","910","","North Auburn to SuperMall",3,"http://metro.kingcounty.gov/schedules/910/n0.html",,
"102593","KCM","906","","Fairwood to Southcenter",3,"http://metro.kingcounty.gov/schedules/906/n0.html",,
"100496","KCM","930","","Kingsgate P&R to Redmond Town Center",3,"http://metro.kingcounty.gov/schedules/930/n0.html",,
"100293","KCM","908","","Renton Highlands to Renton TC",3,"http://metro.kingcounty.gov/schedules/908/n0.html",,
"100272","KCM","773","","Seacrest Park to West Seattle Junction",3,"http://metro.kingcounty.gov/schedules/773/n0.html",,
"100296","KCM","913","","Kent Rail Station to Riverview",3,"http://metro.kingcounty.gov/schedules/913/n0.html",,
"102561","KCM","907","","Enumclaw to Renton TC",3,"http://metro.kingcounty.gov/schedules/907/n0.html",,
"100292","KCM","903","","Twin Lakes to Federal Way TC",3,"http://metro.kingcounty.gov/schedules/903/n0.html",,
"100299","KCM","916","","Downtown Kent to Kent East Hill to Lake Meridian",3,"http://metro.kingcounty.gov/schedules/916/n0.html",,
"102557","KCM","915","","Enumclaw to Auburn Station",3,"http://metro.kingcounty.gov/schedules/915/n0.html",,
"100300","KCM","917","","Pacific to Algona to Auburn Station",3,"http://metro.kingcounty.gov/schedules/917/n0.html",,
"100290","KCM","901","","Mirror Lake to Federal Way TC",3,"http://metro.kingcounty.gov/schedules/901/n0.html",,
"100481","KCM","775","","Seacrest Park to Admiral District to Alki",3,"http://metro.kingcounty.gov/schedules/775/n0.html",,
