route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
95,1,95,D St. - Maud - Fairview,,3,https://www.actransit.org/bus-lines-schedules/95,07B5D0,000000
96,1,96,Alameda Pt. - 14th Ave. - Dimond,,3,https://www.actransit.org/bus-lines-schedules/96,2B589C,FFFFFF
97,1,97,Hesperian - Alvarado - Decoto,,3,https://www.actransit.org/bus-lines-schedules/97,2B589C,FFFFFF
98,1,98,Eastmont - 98th Ave. - Edgewater,,3,https://www.actransit.org/bus-lines-schedules/98,2B589C,FFFFFF
99,1,99,Mission - Decoto - Fremont Blvd.,,3,https://www.actransit.org/bus-lines-schedules/99,2B589C,FFFFFF
E,1,E,Tunnel Rd. - Claremont Transbay,,3,https://www.actransit.org/bus-lines-schedules/E,000000,FFFFFF
F,1,F,Adeline - Market Transbay,,3,https://www.actransit.org/bus-lines-schedules/F,2B589C,FFFFFF
FS,1,FS,Shattuck - University Transbay,,3,https://www.actransit.org/bus-lines-schedules/FS,E6E6FA,000000
G,1,G,Colusa - Solano Transbay,,3,https://www.actransit.org/bus-lines-schedules/G,BC8E2D,000000
J,1,J,Sacramento -  Christie Transbay,,3,https://www.actransit.org/bus-lines-schedules/J,BC8E2D,000000
L,1,L,San Pablo Transbay,,3,https://www.actransit.org/bus-lines-schedules/L,BC8E2D,000000
LA,1,LA,Hilltop - Pierce Transbay,,3,https://www.actransit.org/bus-lines-schedules/LA,BC8E2D,000000
NL,1,NL,MacArthur Transbay Limited,,3,https://www.actransit.org/bus-lines-schedules/NL,2B589C,FFFFFF
NX,1,NX,Grand Lake - Laurel  Transbay,,3,https://www.actransit.org/bus-lines-schedules/NX,BC8E2D,000000
NX3,1,NX3,MacArthur - Eastmont Transbay,,3,https://www.actransit.org/bus-lines-schedules/NX3,000000,FFFFFF
O,1,O,Santa Clara - Encinal Transbay,,3,https://www.actransit.org/bus-lines-schedules/O,2B589C,FFFFFF
OX,1,OX,Bay Farm - Park St. Transbay,,3,https://www.actransit.org/bus-lines-schedules/OX,000000,FFFFFF
P,1,P,Piedmont - Oakland Ave. Transbay,,3,https://www.actransit.org/bus-lines-schedules/P,BC8E2D,000000
U,1,U,Stanford - Dumbarton - Fremont,,3,https://www.actransit.org/bus-lines-schedules/U,BC8E2D,000000
V,1,V,Montclair - Park Blvd. Transbay,,3,https://www.actransit.org/bus-lines-schedules/V,BC8E2D,000000
W,1,W,High - South Shore Transbay,,3,https://www.actransit.org/bus-lines-schedules/W,BC8E2D,000000
