trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8681070,73,14,"OAKLAND AIRPORT",,0,112316307,shp-73-51,0,0
6790070,18,14,"Lake Merritt BART",,0,112925307,shp-18-62,0,0
8057070,34,14,"Hayward BART",,0,113073407,shp-34-56,0,0
13779020,98,3,"Coliseum BART",,0,113243002,shp-98-52,0,0
7861010,36,6,"U.C. Campus",,1,112713001,shp-36-08,0,0
3093070,210,14,"Ohlone College",,0,113080607,shp-210-07,0,0
665070,52,14,"University Village, Albany",,1,112705007,shp-52-14,0,0
11474020,O,11,"San Francisco",,0,113325702,shp-O-53,0,0
6089020,97,3,"Bay Fair BART",,1,113366902,shp-97-10,0,0
4947070,6,14,"Downtown Berkeley",,1,112922607,shp-6-14,0,0
7583020,86,3,"Mack Street",,0,113365502,shp-86-52,0,0
4786010,52,6,"University Village, Albany",,1,112711701,shp-52-13,0,0
3238010,NL,6,"San Francisco",,0,112324801,shp-NL-57,0,0
3363010,36,6,"West Oakland BART",,0,112710901,shp-36-09,0,0
1780010,90,6,"COLISEUM BART  VIA 90TH AVE  85TH AVE",,1,112326601,shp-90-02,0,0
3933010,51B,6,"Rockridge BART",,0,112709401,shp-51B-16,0,0
4496020,46L,3,"Coliseum BART",,0,113318802,shp-46L-51,0,0
3619010,90,6,"Coliseum BART",,0,112325301,shp-90-54,0,0
12493070,41,14,"Union Landing Transit Center",,0,113077007,shp-41-54,0,0
1352070,12,14,"Oakland Amtrak at Jack London Square",,0,112704907,shp-12-56,0,0
6026070,72R,14,"Jack London Square",,0,112399007,shp-72R-57,0,0
12791070,12,14,"Oakland Amtrak at Jack London Square",,0,112703007,shp-12-56,0,0
9969070,72,14,"Hilltop Mall",,1,112398907,shp-72-28,0,0
11084010,86,6,"Hayward BART",,1,113063701,shp-86-01,0,0
8595070,21,14,"Dimond District",,1,112323607,shp-21-20,0,0
3145020,14,3,"Fruitvale BART",,1,113316202,shp-14-15,0,0
4149070,74,14,"Harbour Way South & Ford Point",,0,112401307,shp-74-51,0,0
9101070,6,14,"Downtown Oakland",,0,112922607,shp-6-59,0,0
1639020,40,3,"Downtown Oakland",,1,113319402,shp-40-17,0,0
12072020,1T,3,"Uptown Oakland",,1,113318002,shp-1T-05,0,0
8380070,20,14,"Downtown Oakland",,0,112323407,shp-20-62,0,0
6896010,1T,6,"San Leandro BART",,0,112328501,shp-1T-51,0,0
2061040,LA,12,"Hilltop Park and Ride",,1,113450604,shp-LA-12,0,0
2250020,20,3,"Dimond District",,1,113317402,shp-20-18,0,0
2293020,51B,3,"Berkeley Marina",,1,113454402,shp-51B-15,0,0
12386070,217,14,"Milpitas BART",,0,113080907,shp-217-10,0,0
3259070,95,14,"Hayward BART",,0,113074607,shp-95-53,0,0
8533010,57,6,"Public Market Emeryville",,0,112920501,shp-57-63,0,0
5158020,40,3,"Downtown Oakland",,1,113313402,shp-40-16,0,0
7394020,73,3,"OAKLAND AIRPORT",,0,113314702,shp-73-51,0,0
6188070,1T,14,"San Leandro BART",,0,112320707,shp-1T-51,0,0
2518020,57,3,"Public Market Emeryville",,0,113465102,shp-57-62,0,0
11292020,14,3,"Fruitvale BART",,1,113313202,shp-14-15,0,0
796020,96,3,"Alameda Point",,0,113456002,shp-96-58,0,0
8410070,73,14,"Eastmont Transit Center",,1,112318607,shp-73-01,0,0
5935010,60,6,"Cal State East Bay",,1,113069501,shp-60-06,0,0
10595020,6,3,"Downtown Berkeley",,1,113461702,shp-6-14,0,0
6064070,12,14,"Oakland Amtrak at Jack London Square",,0,112704907,shp-12-56,0,0
8532020,96,3,"Dimond District",,1,113456002,shp-96-09,0,0
6348020,33,3,"Montclair",,1,113463102,shp-33-14,0,0
13685080,658,23,"MacArthur Blvd. & Broadway",,1,112146108,shp-658-04,0,0
8289070,73,14,"Eastmont Transit Center",,1,112315907,shp-73-01,0,0
81010,217,6,"Fremont BART",,1,113068201,shp-217-09,0,0
2248010,1T,6,"San Leandro BART",,0,112327901,shp-1T-51,0,0
648020,51B,3,"Rockridge BART",,0,113453602,shp-51B-16,0,0
2810020,33,3,"Montclair",,1,113463202,shp-33-14,0,0
5811070,72,14,"Contra Costa College",,1,112399507,shp-72-27,0,0
3233070,54,14,"Fruitvale BART",,0,112316607,shp-54-52,0,0
422010,1T,6,"San Leandro BART",,0,112327801,shp-1T-51,0,0
12044020,40,3,"Eastmont Transit Center",,0,113324102,shp-40-61,0,0
4645070,NL,14,"San Francisco",,0,112316907,shp-NL-57,0,0
9599010,62,6,"FRUITVALE BART",,1,112329701,shp-62-05,0,0
6807100,51A,24,"Rockridge BART",,1,113322610,shp-51A-17,0,0
3378100,54,24,"Merritt College",,1,113312910,shp-54-03,0,0
11043070,19,14,"Downtown Oakland",,0,112702907,shp-19-64,0,0
5692020,52,3,"U.C. Campus",,0,113463702,shp-52-60,0,0
10621070,10,14,"San Leandro BART",,1,113075107,shp-10-09,0,0
1190010,51B,6,"Berkeley Marina",,1,112709401,shp-51B-15,0,0
10151020,99,3,"Hayward BART",,1,113365902,shp-99-10,0,0
13081070,72R,14,"Jack London Square",,0,112401207,shp-72R-57,0,0
10778020,51A,3,"Fruitvale BART",,0,113319002,shp-51A-55,0,0
13561100,NL,24,"San Francisco",,0,113320210,shp-NL-57,0,0
13619020,71,3,"Richmond Parkway Transit Center",,1,113445402,shp-71-03,0,0
7794010,800,6,"Richmond BART",,1,112707601,shp-800-83,0,0
10791010,1T,6,"Uptown Oakland",,1,112328101,shp-1T-05,0,0
11660070,72,14,"Jack London Square",,0,112402307,shp-72-77,0,0
2661070,51A,14,"Fruitvale BART",,0,112323007,shp-51A-55,0,0
5420070,NL,14,"San Francisco",,0,112316907,shp-NL-57,0,0
134020,7,3,"El Cerrito Del Norte BART",,1,113457702,shp-7-09,0,0
2355020,6,3,"Downtown Oakland",,0,113461702,shp-6-59,0,0
4760070,18,14,"Lake Merritt BART",,0,112925807,shp-18-62,0,0
2455020,71,3,"El Cerrito Plaza BART",,0,113445602,shp-71-51,0,0
4016020,54,3,"Fruitvale BART",,0,113315802,shp-54-53,0,0
10195070,57,14,"Public Market Emeryville",,0,112922007,shp-57-63,0,0
2445070,99,14,"Fremont BART",,0,113077807,shp-99-09,0,0
8747010,1T,6,"San Leandro BART",,0,112328201,shp-1T-51,0,0
7564010,35,6,"Foothill Square",,1,113064101,shp-35-11,0,0
13197070,97,14,"Union City BART",,0,113075907,shp-97-57,0,0
4491020,677,20,"MONTERA MIDDLE SCHOOL",,1,113321002,shp-677-01,0,0
322010,86,6,"Hayward BART",,1,113063901,shp-86-01,0,0
1742010,97,6,"Union City BART",,0,113064601,shp-97-57,0,0
4878010,840,6,"Uptown Oakland",,1,112326401,shp-840-10,0,0
7467020,46L,3,"Grass Valley",,1,113318802,shp-46L-02,0,0
13694020,7,3,"El Cerrito Del Norte BART",,1,113457702,shp-7-09,0,0
11787070,36,14,"West Oakland BART",,0,112705407,shp-36-09,0,0
9458020,F,3,"U.C. Campus",,1,113454602,shp-F-21,0,0
1723020,88,3,"Downtown Berkeley",,1,113454502,shp-88-07,0,0
6522070,62,14,"FRUITVALE BART",,1,112318107,shp-62-05,0,0
12173070,376,14,"Fitzgerald Drive, Pinole",,1,112401807,shp-376-09,0,0
13203020,10,3,"San Leandro BART",,1,113366802,shp-10-09,0,0
5745010,10,6,"San Leandro BART",,1,113067501,shp-10-09,0,0
11738020,72R,3,"Jack London Square",,0,113445902,shp-72R-57,0,0
5727010,33,6,"Montclair",,1,112919101,shp-33-14,0,0
7893010,72R,6,"Jack London Square",,0,112398701,shp-72R-57,0,0
8376020,62,3,"Fruitvale BART",,1,113318502,shp-62-08,0,0
12028020,14,3,"Fruitvale BART",,1,113315402,shp-14-15,0,0
13517020,657,11,"Coliseum BART",,1,113458302,shp-657-10,0,0
7595100,F,24,"U.C. Campus",,1,113458210,shp-F-21,0,0
663010,19,6,"Fruitvale BART",,1,112710501,shp-19-16,0,0
2461040,646,19,"To Coliseum BART",,1,113135804,shp-646-13,0,0
1003070,72,14,"Jack London Square",,0,112399407,shp-72-77,0,0
2407020,51B,3,"Rockridge BART",,0,113455202,shp-51B-17,0,0
669020,20,3,"Dimond District",,1,113312702,shp-20-18,0,0
3020,14,3,"Fruitvale BART",,1,113320702,shp-14-15,0,0
3065020,7,3,"El Cerrito Del Norte BART",,1,113459202,shp-7-09,0,0
6406020,86,3,"Hayward BART",,1,113365502,shp-86-01,0,0
10761020,NX,11,"MacArthur Blvd. & Millsbrae Ave.",,1,113326902,shp-NX-06,0,0
11135070,98,14,"Coliseum BART",,0,112317607,shp-98-52,0,0
3680020,62,3,"Auto Generated-52",,0,113319602,shp-62-52,0,0
11786070,217,14,"Fremont BART",,1,113075607,shp-217-09,0,0
11121020,18,7,"University Village, Albany",,1,113457402,shp-18-18,0,0
12502020,20,3,"Downtown Oakland",,0,113312702,shp-20-62,0,0
5382070,216,14,"Silliman Center",,0,113081207,shp-216-62,0,0
76010,88,6,"Lake Merritt BART",,0,112709501,shp-88-08,0,0
9900070,52,14,"U.C. Campus",,0,112704107,shp-52-60,0,0
1063020,14,3,"Fruitvale BART",,1,113313702,shp-14-15,0,0
7494010,NL,6,"Eastmont Transit Center",,1,112324601,shp-NL-10,0,0
5366070,57,14,"Public Market Emeryville",,0,112921907,shp-57-63,0,0
12962020,98,11,"Coliseum BART",,0,113242502,shp-98-52,0,0
2753010,40,6,"Bay Fair BART",,0,112331401,shp-40-62,0,0
3017010,40,6,"Bay Fair BART",,0,112331501,shp-40-62,0,0
2244020,51B,7,"Rockridge BART",,0,113457302,shp-51B-17,0,0
9231010,52,6,"U.C. Campus",,0,112712601,shp-52-60,0,0
7061070,40,14,"Downtown Oakland",,1,112319207,shp-40-16,0,0
657020,OX,3,"San Francisco",,0,113324202,shp-OX-53,0,0
10947020,62,3,"Auto Generated-52",,0,113318502,shp-62-52,0,0
12590070,12,14,"Northwest Berkeley",,1,112703707,shp-12-14,0,0
8004020,239,3,"Kato Rd. & Milmont Dr.",,0,113369002,shp-239-57,0,0
12169020,215,3,"Fremont BART",,1,113376202,shp-215-15,0,0
2509070,97,14,"Bay Fair BART",,1,113077607,shp-97-10,0,0
5176020,45,3,"Foothill Square",,1,113313802,shp-45-04,0,0
5859070,76,14,"Richmond Parkway Transit Center",,0,112401007,shp-76-09,0,0
13125020,1T,3,"Uptown Oakland",,1,113317002,shp-1T-05,0,0
9332020,6,3,"Downtown Oakland",,0,113461402,shp-6-59,0,0
2128020,18,3,"University Village, Albany",,1,113460102,shp-18-18,0,0
13321070,251,14,"Fremont BART",,1,113080807,shp-251-11,0,0
11870010,36,6,"West Oakland BART",,0,112710901,shp-36-09,0,0
9821070,18,14,"Lake Merritt BART",,0,112925807,shp-18-62,0,0
11851070,232,14,"Fremont BART",,0,113078007,shp-232-58,0,0
9413070,71,14,"Richmond Parkway Transit Center",,1,112400607,shp-71-03,0,0
10337070,95,14,"Fairview District",,1,113074607,shp-95-07,0,0
8102070,51B,14,"Rockridge BART",,0,112701807,shp-51B-16,0,0
9070,1T,14,"San Leandro BART",,0,112321307,shp-1T-51,0,0
12484020,78,3,"Fruitvale BART",,1,113321402,shp-78-03,0,0
82010,20,6,"Dimond District",,1,112718601,shp-20-18,0,0
7651010,802,6,"Berkeley Amtrak",,1,112707201,shp-802-04,0,0
2439010,73,6,"OAKLAND AIRPORT",,0,112324001,shp-73-51,0,0
1690020,7,3,"El Cerrito Del Norte BART",,1,113457902,shp-7-09,0,0
7132010,1T,6,"Uptown Oakland",,1,112328901,shp-1T-05,0,0
11342020,802,3,"Uptown Oakland",,0,113452902,shp-802-08,0,0
6350070,60,14,"Cal State East Bay",,1,113078707,shp-60-06,0,0
12246020,76,3,"Richmond Parkway Transit Center",,0,113451002,shp-76-09,0,0
9320010,54,6,"Merritt College",,1,112325701,shp-54-02,0,0
10336010,90,6,"Coliseum BART",,0,112325101,shp-90-54,0,0
11917020,51A,3,"Fruitvale BART",,0,113320402,shp-51A-55,0,0
10256070,57,14,"Public Market Emeryville",,0,112921707,shp-57-63,0,0
2205010,96,6,"Alameda Point",,0,112919901,shp-96-58,0,0
