route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
5,76280-1111100-0,16190775,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190820,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190869,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190799,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190850,"Downtown",1,West,900504,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190777,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190822,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190871,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190801,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190852,"Downtown",1,West,900504,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190779,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190824,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190873,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190803,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190854,"Downtown",1,West,900504,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190781,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190826,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190875,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190805,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190856,"Downtown",1,West,900504,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190783,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190828,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190877,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190807,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190858,"Downtown",1,West,900504,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190785,"Downtown",1,West,900501,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190830,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190879,"Downtown",1,West,900505,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190809,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190832,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190881,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190834,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190883,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190836,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190885,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190838,"Downtown",1,West,900503,5_3_88,1,2,Dwtn
5,76280-1111100-0,16190887,"Downtown",1,West,900502,5_3_88,1,2,Dwtn
27,76280-1111100-0,16190372,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190403,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190388,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190419,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190374,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190405,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190390,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190421,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190376,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190407,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190392,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190423,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190378,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190409,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190394,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190425,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190380,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190411,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190396,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190427,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190382,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190413,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190398,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190429,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190384,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190415,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190400,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190431,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190386,"Kearny Mesa T.C.",0,East,902701,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190417,"Kearny Mesa T.C.",0,East,902703,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190402,"Kearny Mesa T.C.",0,East,902702,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190433,"Kearny Mesa T.C.",0,East,902704,27_2_81,1,2,Krny Msa T.C.
27,76280-1111100-0,16190387,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190418,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190373,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190404,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190389,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190420,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190375,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190406,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190391,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190422,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190377,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190408,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190393,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190424,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
