fare_id,route_id,origin_id,destination_id,contains_id
FREEAIR,AIR,,,
CASH_250,1,,,
DAYPASS_1200,1,,,
DAYPASS_1500,1,,,
DAYPASS_600,1,,,
CASH_250,2,,,
DAYPASS_1200,2,,,
DAYPASS_1500,2,,,
DAYPASS_600,2,,,
CASH_250,3,,,
DAYPASS_1200,3,,,
DAYPASS_1500,3,,,
DAYPASS_600,3,,,
CASH_250,4,,,
DAYPASS_1200,4,,,
DAYPASS_1500,4,,,
DAYPASS_600,4,,,
CASH_250,5,,,
DAYPASS_1200,5,,,
DAYPASS_1500,5,,,
DAYPASS_600,5,,,
CASH_250,6,,,
DAYPASS_1200,6,,,
DAYPASS_1500,6,,,
DAYPASS_600,6,,,
CASH_250,7,,,
DAYPASS_1200,7,,,
DAYPASS_1500,7,,,
DAYPASS_600,7,,,
CASH_250,8,,,
DAYPASS_1200,8,,,
DAYPASS_1500,8,,,
DAYPASS_600,8,,,
CASH_250,9,,,
DAYPASS_1200,9,,,
DAYPASS_1500,9,,,
DAYPASS_600,9,,,
CASH_250,10,,,
DAYPASS_1200,10,,,
DAYPASS_1500,10,,,
DAYPASS_600,10,,,
CASH_250,11,,,
DAYPASS_1200,11,,,
DAYPASS_1500,11,,,
DAYPASS_600,11,,,
CASH_250,12,,,
DAYPASS_1200,12,,,
DAYPASS_1500,12,,,
DAYPASS_600,12,,,
CASH_250,13,,,
DAYPASS_1200,13,,,
DAYPASS_1500,13,,,
DAYPASS_600,13,,,
CASH_250,14,,,
DAYPASS_1200,14,,,
DAYPASS_1500,14,,,
DAYPASS_600,14,,,
CASH_250,18,,,
DAYPASS_1200,18,,,
DAYPASS_1500,18,,,
DAYPASS_600,18,,,
CASH_250,20,,,
DAYPASS_1200,20,,,
DAYPASS_1500,20,,,
DAYPASS_600,20,,,
CASH_250,25,,,
DAYPASS_1200,25,,,
DAYPASS_1500,25,,,
DAYPASS_600,25,,,
CASH_250,27,,,
DAYPASS_1200,27,,,
DAYPASS_1500,27,,,
DAYPASS_600,27,,,
CASH_250,28,,,
DAYPASS_1200,28,,,
DAYPASS_1500,28,,,
DAYPASS_600,28,,,
CASH_250,30,,,
DAYPASS_1200,30,,,
DAYPASS_1500,30,,,
DAYPASS_600,30,,,
CASH_250,31,,,
DAYPASS_1200,31,,,
DAYPASS_1500,31,,,
DAYPASS_600,31,,,
CASH_250,35,,,
DAYPASS_1200,35,,,
DAYPASS_1500,35,,,
DAYPASS_600,35,,,
CASH_250,41,,,
DAYPASS_1200,41,,,
DAYPASS_1500,41,,,
DAYPASS_600,41,,,
CASH_250,43,,,
DAYPASS_1200,43,,,
DAYPASS_1500,43,,,
DAYPASS_600,43,,,
CASH_250,44,,,
DAYPASS_1200,44,,,
DAYPASS_1500,44,,,
DAYPASS_600,44,,,
CASH_250,60,,,
DAYPASS_1200,60,,,
DAYPASS_1500,60,,,
DAYPASS_600,60,,,
CASH_250,83,,,
DAYPASS_1200,83,,,
DAYPASS_1500,83,,,
DAYPASS_600,83,,,
CASH_250,84,,,
DAYPASS_1200,84,,,
DAYPASS_1500,84,,,
DAYPASS_600,84,,,
CASH_250,88,,,
DAYPASS_1200,88,,,
DAYPASS_1500,88,,,
DAYPASS_600,88,,,
CASH_250,105,,,
DAYPASS_1200,105,,,
DAYPASS_1500,105,,,
DAYPASS_600,105,,,
CASH_250,110,,,
DAYPASS_1200,110,,,
DAYPASS_1500,110,,,
DAYPASS_600,110,,,
CASH_250,115,,,
DAYPASS_1200,115,,,
DAYPASS_1500,115,,,
DAYPASS_600,115,,,
CASH_250,120,,,
DAYPASS_1200,120,,,
DAYPASS_1500,120,,,
DAYPASS_600,120,,,
CASH_250,140,,,
DAYPASS_1200,140,,,
DAYPASS_1500,140,,,
DAYPASS_600,140,,,
CASH_250,201,,,
DAYPASS_1200,201,,,
DAYPASS_1500,201,,,
DAYPASS_600,201,,,
CASH_250,202,,,
DAYPASS_1200,202,,,
DAYPASS_1500,202,,,
DAYPASS_600,202,,,
CASH_250,204,,,
DAYPASS_1200,204,,,
DAYPASS_1500,204,,,
DAYPASS_600,204,,,
CASH_250,215,,,
DAYPASS_1200,215,,,
DAYPASS_1500,215,,,
DAYPASS_600,215,,,
CASH_250,225,,,
DAYPASS_1200,225,,,
DAYPASS_1500,225,,,
