fare_id,rider_category_id,price
3525,2,1.75
3525,5,1.75
3525,6,1.75
3525,15,1.75
3526,2,2.75
3526,5,2.75
3526,6,2.75
3526,15,2.75
3527,2,3.75
3527,5,3.75
3527,6,3.75
3527,15,3.75
3528,2,4.75
3528,5,4.75
3528,6,4.75
3528,15,4.75
3529,2,5.75
3529,5,5.75
3529,6,5.75
3529,15,5.75
3530,2,6.75
3530,5,6.75
3530,6,6.75
3530,15,6.75
